Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
2/16/16,32.98,0.86,7.0,35.8,0.19,Y,Y,Y,0.6,UpDn
2/17/16,33.503,0.9,8.3,30.0,0.28,Y,Y,Y,0.68,UpDn
2/18/16,33.411,0.9,8.9,31.0,0.29,Y,Y,Y,0.71,UpDn
2/19/16,33.462,0.9,9.1,31.0,0.29,G,Y,Y,0.74,UpDn
2/22/16,33.792,0.91,9.4,28.2,0.33,G,Y,Y,0.8,UpDn
2/23/16,33.522,0.89,9.4,28.1,0.33,Y,Y,Y,0.8,UpDn
2/24/16,33.681,0.9,10.5,26.9,0.39,G,Y,Y,0.83,UpDn
2/25/16,33.941,0.92,12.0,25.6,0.47,G,Y,Y,0.89,UpDn
2/26/16,34.007,0.93,11.9,23.3,0.51,G,Y,Y,0.92,UpDn
2/29/16,33.915,0.92,11.6,23.9,0.48,Y,Y,Y,0.92,UpDn
3/1/16,34.48,0.99,17.4,17.0,1.02,G,Y,G,1.05,C/Up
3/2/16,34.665,1.02,20.1,15.3,1.31,G,G,G,1.15,UpUp
3/3/16,34.893,1.04,25.2,14.2,1.78,G,G,G,1.29,UpUp
3/4/16,35.046,1.06,28.2,13.5,2.1,G,G,G,1.4,UpUp
3/7/16,35.189,1.06,27.7,11.9,2.32,G,Y,G,1.45,UpUp
3/8/16,34.739,1.02,21.8,12.4,1.77,Y,Y,Y,1.37,UpUp
3/9/16,34.852,1.03,24.9,12.4,2.0,G,G,G,1.39,UpUp
3/10/16,34.732,1.02,23.3,13.7,1.7,Y,Y,Y,1.33,DnUp
3/11/16,35.269,1.06,31.1,12.0,2.59,G,Y,G,1.41,UpUp
3/14/16,35.232,1.05,28.9,11.3,2.56,Y,Y,Y,1.45,UpUp
3/15/16,34.953,1.02,24.9,12.6,1.98,Y,Y,Y,1.43,UpUp
3/16/16,35.194,1.04,30.1,12.4,2.43,G,G,G,1.44,UpUp
3/17/16,35.495,1.07,35.0,11.8,2.98,G,G,G,1.49,UpUp
3/18/16,35.626,1.08,36.5,11.5,3.18,G,G,G,1.52,UpUp
3/21/16,35.64,1.07,34.4,10.8,3.18,G,Y,Y,1.52,UpUp
3/22/16,35.644,1.08,35.1,9.4,3.72,G,G,G,1.51,UpUp
3/23/16,35.254,1.04,29.7,11.4,2.59,Y,Y,Y,1.47,UpUp
3/24/16,35.232,1.04,28.6,11.3,2.53,Y,Y,Y,1.44,DnUp
3/28/16,35.275,1.04,30.9,11.7,2.64,Y,Y,Y,1.43,DnUp
3/29/16,35.739,1.1,38.4,9.4,4.06,G,G,G,1.48,UpUp
3/30/16,35.867,1.11,40.3,9.1,4.45,G,G,G,1.52,UpUp
3/31/16,35.889,1.11,40.5,8.7,4.64,G,Y,G,1.54,UpUp
4/1/16,35.999,1.11,39.5,8.6,4.58,G,Y,Y,1.55,UpUp
4/4/16,35.82,1.08,34.8,9.1,3.82,Y,Y,Y,1.53,UpUp
4/5/16,35.523,1.07,30.7,8.8,3.5,Y,Y,Y,1.49,DnUp
4/6/16,35.833,1.1,34.6,8.0,4.32,Y,Y,Y,1.5,DnUp
4/7/16,35.501,1.07,29.5,9.0,3.27,Y,Y,Y,1.48,DnUp
4/8/16,35.643,1.09,33.0,8.8,3.76,Y,Y,Y,1.48,DnUp
4/11/16,35.621,1.1,34.9,8.6,4.05,R,G,G,1.48,DnUp
4/12/16,35.918,1.13,37.5,7.3,5.14,G,G,G,1.51,UpUp
4/13/16,36.353,1.16,42.5,6.6,6.48,G,G,G,1.57,UpUp
4/14/16,36.315,1.16,41.6,6.8,6.16,Y,Y,Y,1.58,UpUp
4/15/16,36.347,1.16,42.3,6.7,6.34,G,Y,G,1.59,UpUp
4/18/16,36.541,1.15,41.7,7.0,5.97,Y,Y,Y,1.61,UpUp
4/19/16,36.667,1.16,42.0,6.5,6.43,G,G,G,1.62,UpUp
4/20/16,36.699,1.16,41.9,6.3,6.63,G,Y,G,1.62,UpUp
4/21/16,36.526,1.15,39.7,6.5,6.16,Y,Y,Y,1.6,UpUp
4/22/16,36.632,1.17,41.3,6.4,6.48,G,G,G,1.6,UpUp
4/25/16,36.497,1.14,38.9,6.7,5.84,R,Y,Y,1.58,DnUp
4/26/16,36.675,1.16,40.7,6.0,6.77,G,Y,G,1.59,UpUp
4/27/16,36.782,1.16,41.3,6.5,6.4,G,Y,Y,1.6,UpUp
4/28/16,36.493,1.14,38.0,7.0,5.4,R,Y,Y,1.56,DnUp
4/29/16,36.352,1.13,35.0,7.9,4.44,Y,Y,Y,1.53,DnUp
5/2/16,36.555,1.13,38.1,7.9,4.82,Y,Y,Y,1.52,UpUp
5/3/16,36.16,1.09,28.9,8.7,3.33,Y,Y,Y,1.48,DnUp
